Date,Open,High,Low,Close,Volume
9/28/2015,168.76,168.77,165.06,165.35,3890113
9/29/2015,165.69,166.89,164.44,165.44,3355096
9/30/2015,167.51,168.74,166.65,168.61,4297168
10/1/2015,168.86,169.3,166.97,169.08,4114694
10/2/2015,166.97,171.52,166.34,171.52,2404268
10/5/2015,172.84,174.8,172.71,174.6,2135443
10/6/2015,174.52,175.03,173.29,174.04,1381117
10/7/2015,175.02,175.8,173.74,175.49,1765138
10/8/2015,175.06,177.32,174.7,177.02,3240462
10/9/2015,177.2,177.6,176.48,177.12,1720535
10/12/2015,177.21,177.45,176.73,177.34,922367
10/13/2015,176.54,177.82,175.98,176.15,1065357
10/14/2015,176.04,176.68,175.01,175.33,1233971
10/15/2015,176.07,178,175.64,177.96,2629364
10/16/2015,178.44,178.81,177.64,178.68,1293474
10/19/2015,178.15,178.9,177.82,178.89,801280
10/20/2015,178.51,179.31,178.19,178.66,1050172
10/21/2015,179.23,179.25,177.39,177.49,1622367
10/22/2015,178.51,180.76,178.46,180.56,1561299
10/23/2015,182.31,182.93,181.5,182.52,1692709
10/26/2015,182.42,182.43,181.74,182.09,1198851
10/27/2015,181.44,182.09,181.02,181.75,1503149
10/28/2015,182.16,183.86,181.42,183.86,2346638
10/29/2015,183.33,184.09,183.18,183.79,1853925
10/30/2015,184.06,184.23,182.86,182.86,2096219
11/2/2015,183.27,185.29,183.14,185.04,2504710
11/3/2015,184.76,186.22,184.5,185.61,4085410
11/4/2015,185.93,186.06,184.5,185.1,1861931
11/5/2015,185.21,185.61,183.95,184.86,2277129
11/6/2015,184.48,185.05,183.41,184.78,2263998
11/9/2015,184.13,184.24,182.08,183.06,2217425
11/10/2015,182.56,183.53,182.23,183.41,1310358
11/11/2015,183.74,183.81,182.69,182.69,1161647
11/12/2015,181.72,182.13,180.19,180.25,2558188
11/13/2015,179.79,180.03,178.08,178.16,3359680
11/16/2015,178.01,180.92,177.87,180.9,1758050
11/17/2015,181.22,182.11,180.24,180.67,1959074
